type,nom_complet,nom,code,description,couleur,notes,mnemo_produit,domaine_produit,cache,taxe,virtuel
EXPENSE,6-CHARGES:67-EXCEPTIONNEL:675-Ventes d'actifs,675-Ventes d'actifs,675,Valeurs comptables des éléments d'actif cédés,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:68-AMORTISSEMENTS,68-AMORTISSEMENTS,68,Dotations aux amortissements et aux provisions,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:68-AMORTISSEMENTS:681-Amortissements,681-Amortissements,681,Dotations aux amortissements sur immobilisations incorporelles et corporelles,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:68-AMORTISSEMENTS:686-Dépréciations,686-Dépréciations,686,Provisions pour dépréciation des éléments financiers,,,EUR,CURRENCY,F,F,F
INCOME,7-REVENUS,7-REVENUS,7,COMPTES DE REVENUS,,,EUR,CURRENCY,F,F,T
INCOME,7-REVENUS:70-REVENUS,70-REVENUS,70,REVENUS ET PRODUITS COURANTS,,,EUR,CURRENCY,F,F,T
INCOME,7-REVENUS:70-REVENUS:701-Salaires,701-Salaires,701,"Traitements, salaires, pension, rentes",,,EUR,CURRENCY,F,F,T
INCOME,7-REVENUS:70-REVENUS:701-Salaires:Salaire net,Salaire net,7011,Traitements et salaires,,,EUR,CURRENCY,F,F,F
INCOME,7-REVENUS:70-REVENUS:701-Salaires:Retraites,Retraites,7012,Pension de Retraite,,,EUR,CURRENCY,F,F,F
INCOME,7-REVENUS:70-REVENUS:701-Salaires:Pensions reçues,Pensions reçues,7013,Pensions reçues,,,EUR,CURRENCY,F,F,F
INCOME,7-REVENUS:70-REVENUS:701-Salaires:Divers,Divers,7015,Revenus divers,,,EUR,CURRENCY,F,F,F
INCOME,7-REVENUS:70-REVENUS:701-Salaires:Primes (exo),Primes (exo),7016,Primes hors impôt,,,EUR,CURRENCY,F,F,F
